N (Top Words),Memory (KB),Memory Saved (%)
1000,17.4072265625,99.29956441354975
800,13.9287109375,99.4395336454676
600,10.4921875,99.5778131870507
400,7.017578125,99.71762523847228
200,3.515625,99.85853755336768
