N (Top Words),Runtime (s),Time Faster (%)
1000,0.8168608139967546,57.89296935866821
800,0.7704277230004664,60.286473309220334
600,0.7208265009976458,62.84328609658042
400,0.6541783860011492,66.27882146840649
200,0.5102458059991477,73.69816813381563
