,precision,recall,f1
Best Recall (Lambda 0.005),0.8667114695340502,0.9989672088820036,0.9281516132901523
Best F1 (Lambda 4.0),0.9708514446433137,0.9803769687580687,0.9755909558067832
MI Top 200 (Lambda 4.0),0.593006993006993,0.9852827265685515,0.740395809080326
