0,0.447356
1,0.437615
2,0.436076
3,0.370623
4,0.266753
5,0.241426
6,0.203408
7,0.170999
8,0.148102
9,0.130744
10,0.112298
11,0.093205
12,0.082125
13,0.072644
14,0.066316
15,0.061368
16,0.057987
17,0.054440
18,0.051836
19,0.050057
20,0.046828
21,0.043515
22,0.041446
23,0.039711
24,0.037027
25,0.035491
26,0.033585
27,0.032552
28,0.032394
29,0.031106
30,0.030286
31,0.029709
32,0.028743
33,0.028395
34,0.027708
35,0.026081
36,0.025915
37,0.025349
38,0.024682
39,0.024681
40,0.022476
41,0.022349
42,0.021109
43,0.021153
44,0.019992
45,0.019689
46,0.018883
47,0.017945
48,0.016507
49,0.017487
