0,0.504130
1,0.438331
2,0.438249
3,0.438155
4,0.438041
5,0.437895
6,0.437698
7,0.437419
8,0.437002
9,0.436333
10,0.435156
11,0.432799
12,0.426971
13,0.408138
14,0.366769
15,0.335236
16,0.313739
17,0.292040
18,0.275827
19,0.265570
20,0.258540
21,0.253436
22,0.249384
23,0.245798
24,0.242249
25,0.238269
26,0.233079
27,0.225590
28,0.216519
29,0.208603
30,0.202017
31,0.195755
32,0.189445
33,0.183447
34,0.178059
35,0.173112
36,0.168244
37,0.163258
38,0.158193
39,0.153474
40,0.149358
41,0.145700
42,0.142303
43,0.139089
44,0.136054
45,0.133170
46,0.130384
47,0.127669
48,0.125027
49,0.122465
50,0.119981
51,0.117559
52,0.115174
53,0.112803
54,0.110431
55,0.108034
56,0.105554
57,0.102897
58,0.099941
59,0.096551
60,0.092764
61,0.088800
62,0.084886
63,0.081230
64,0.077972
65,0.075133
66,0.072655
67,0.070460
68,0.068484
69,0.066677
70,0.065003
71,0.063431
72,0.061941
73,0.060521
74,0.059176
75,0.057905
76,0.056705
77,0.055569
78,0.054496
79,0.053481
80,0.052517
81,0.051601
82,0.050728
83,0.049896
84,0.049099
85,0.048335
86,0.047597
87,0.046880
88,0.046180
89,0.045498
90,0.044833
91,0.044189
92,0.043565
93,0.042963
94,0.042380
95,0.041818
96,0.041272
97,0.040743
98,0.040228
99,0.039725
