0,0.447478
1,0.437464
2,0.427843
3,0.313204
4,0.253332
5,0.240963
6,0.216457
7,0.170627
8,0.147229
9,0.127482
10,0.104162
11,0.088201
12,0.077686
13,0.070360
14,0.064151
15,0.059441
16,0.055560
17,0.052603
18,0.049103
19,0.045062
20,0.042680
21,0.040492
22,0.038938
23,0.037745
24,0.035457
25,0.033514
26,0.031587
27,0.031117
28,0.030314
29,0.029600
30,0.029379
31,0.028026
32,0.026391
33,0.027411
34,0.027059
35,0.025070
36,0.025064
37,0.024298
38,0.023665
39,0.023503
40,0.023667
41,0.023672
42,0.021575
43,0.021549
44,0.020227
45,0.019863
46,0.019938
47,0.018885
48,0.018115
49,0.017974
