0,0.446041
1,0.413295
2,0.276130
3,0.228419
4,0.186893
5,0.159942
6,0.141516
7,0.123300
8,0.106021
9,0.092834
10,0.084360
11,0.078680
12,0.073407
13,0.066906
14,0.061060
15,0.056790
16,0.055837
17,0.052256
18,0.049604
19,0.045889
20,0.042850
21,0.040315
22,0.039856
23,0.035501
24,0.035166
25,0.035514
26,0.033259
27,0.033984
28,0.029868
29,0.028289
30,0.027809
31,0.027032
32,0.026241
33,0.025553
34,0.024731
35,0.024133
36,0.024510
37,0.024221
38,0.022363
39,0.022932
40,0.021974
41,0.021797
42,0.021588
43,0.021031
44,0.019798
45,0.019993
46,0.019141
47,0.019107
48,0.018488
49,0.016971
50,0.017236
51,0.016687
52,0.016718
53,0.016813
54,0.015914
55,0.016635
56,0.015892
57,0.015480
58,0.014816
59,0.015455
60,0.014758
61,0.014376
62,0.014009
63,0.014423
64,0.014322
65,0.013994
66,0.013614
67,0.013487
68,0.013606
69,0.013097
70,0.013831
71,0.012838
72,0.012919
73,0.012764
74,0.013265
75,0.012614
76,0.012574
77,0.012611
78,0.012401
79,0.011987
80,0.011906
81,0.011883
82,0.011521
83,0.011169
84,0.011268
85,0.011620
86,0.011558
87,0.011084
88,0.011219
89,0.011116
90,0.010884
91,0.010402
92,0.010852
93,0.010024
94,0.010639
95,0.010661
96,0.010630
97,0.010275
98,0.010449
99,0.009780
