0,0.517934
1,0.438466
2,0.438357
3,0.438342
4,0.438327
5,0.438310
6,0.438291
7,0.438270
8,0.438244
9,0.438214
10,0.438177
11,0.438132
12,0.438077
13,0.438008
14,0.437919
15,0.437804
16,0.437649
17,0.437436
18,0.437135
19,0.436693
20,0.436013
21,0.434895
22,0.432904
23,0.428908
24,0.419464
25,0.394962
26,0.359875
27,0.334561
28,0.313840
29,0.293962
30,0.278283
31,0.267844
32,0.260045
33,0.253463
34,0.247458
35,0.241678
36,0.235889
37,0.229887
38,0.223609
39,0.217070
40,0.210388
41,0.203701
42,0.197115
43,0.190684
44,0.184503
45,0.178600
46,0.173075
47,0.167909
48,0.163150
49,0.158778
50,0.154730
51,0.150984
52,0.147506
53,0.144250
54,0.141163
55,0.138219
56,0.135382
57,0.132586
58,0.129845
59,0.127083
60,0.124260
61,0.121373
62,0.118455
63,0.115464
64,0.112436
65,0.109338
66,0.106151
67,0.102823
68,0.099302
69,0.095539
70,0.091543
71,0.087357
72,0.083076
73,0.078912
74,0.074945
75,0.071340
76,0.068009
77,0.065027
78,0.062327
79,0.059911
80,0.057709
81,0.055713
82,0.053896
83,0.052181
84,0.050593
85,0.049054
86,0.047680
87,0.046336
88,0.045066
89,0.043849
90,0.042695
91,0.041575
92,0.040526
93,0.039523
94,0.038538
95,0.037601
96,0.036698
97,0.035833
98,0.035003
99,0.034183
