N (Top Words),accuracy,precision,recall,f1
200,0.7641667401075174,0.593006993006993,0.9852827265685515,0.740395809080326
400,0.7931611879792015,0.6244698205546493,0.9883810999225406,0.765370388883335
600,0.8132546047413414,0.6484427894380501,0.9891556932610379,0.7833554851242205
800,0.8351987309420993,0.6766002468700406,0.9907048799380326,0.8040653813914501
1000,0.84445227813519,0.689432063263839,0.9904466821585335,0.8129702235880047
