N (Top Words),Runtime (s),Time Faster (%)
1000,0.3475048090040218,58.45872614440027
800,0.3220801310017123,61.49803231864133
600,0.3104252519988222,62.891274966996534
400,0.28626876800262835,65.7789792262567
200,0.23872011099592783,71.46302080209132
