,precision,recall,f1
Best Recall (Lambda 0.005),0.8667114695340502,0.9989672088820036,0.9281516132901523
Best F1 (Lambda 2.0),0.9663120567375887,0.9850245287890524,0.9755785705152794
MI Top 200 (Lambda 2.0),0.5887980249961425,0.9852827265685515,0.7371064322966969
