N (Top Words),accuracy,precision,recall,f1
200,0.7601128051467348,0.5887980249961425,0.9852827265685515,0.7371064322966969
400,0.7878734467260069,0.6181495809155384,0.9901884843790344,0.7611392279448249
600,0.8050586057988895,0.6382093526377101,0.9901884843790344,0.7761586723335357
800,0.8274433771040803,0.6661461044594829,0.9912212754970308,0.7968036529680366
1000,0.8348462148585529,0.6760612999823851,0.9909630777175317,0.8037696335078535
